Manufacturer,Model,Variant,TOTAL,2005,2004,2003,2002,2001,2000,1999,1998,TOTAL,1997,1996,1995,1994,1993,1992,1991,Pre-1991,Umbral,
Sm_Sal_Citroen,Xsara,Other,237,0,9,9,20,47,59,38,48,237,7,0,0,0,0,0,0,0,Si,
Sm_Sal_Citroen,ZX,All,525,0,0,0,0,0,0,0,3,525,22,31,73,119,153,103,21,0,Si,
Sm_Sal_Daewoo,Lacetti,All,4,1,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,No,
Sm_Sal_Daewoo,Lanos,All,167,0,0,1,9,3,33,46,60,167,15,0,0,0,0,0,0,0,Si,
Sm_Sal_Daewoo,Nexia,All,166,0,0,0,0,0,0,0,3,166,51,73,39,0,0,0,0,0,Si,
Sm_Sal_Daihatsu,Applause,All,12,0,0,0,0,0,0,0,0,12,0,0,0,0,2,2,4,4,No,
Sm_Sal_Fiat Auto,Brava,All,460,0,0,0,0,36,45,67,75,460,111,126,0,0,0,0,0,0,Si,
Sm_Sal_Fiat Auto,Bravo,All,331,0,0,0,6,34,37,42,92,331,41,70,9,0,0,0,0,0,Si,
Sm_Sal_Fiat Auto,Stilo,All,134,6,32,41,55,0,0,0,0,134,0,0,0,0,0,0,0,0,Si,
Sm_Sal_Fiat Auto,Strada& Tipo,All,251,0,0,0,0,0,0,0,0,251,0,0,54,57,39,36,25,40,Si,
Sm_Sal_Ford Corporation,Escort Mk1,All,38,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,38,No,
Sm_Sal_Ford Corporation,Escort Mk2,All,34,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,34,No,
Sm_Sal_Ford Corporation,Escort Mk3,GHIA,299,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,299,Si,
Sm_Sal_Ford Corporation,Escort Mk3,GL,216,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,216,Si,
Sm_Sal_Ford Corporation,Escort Mk3,L,1086,0,0,0,0,0,0,0,0,1086,0,0,0,0,0,0,0,1086,Si,
Sm_Sal_Ford Corporation,Escort Mk3,LX,232,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,232,Si,
Sm_Sal_Ford Corporation,Escort Mk3,Popular,416,0,0,0,0,0,0,0,0,416,0,0,0,0,0,0,0,416,Si,
Sm_Sal_Ford Corporation,Escort Mk3,XR3& XR3 I,230,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,230,Si,
Sm_Sal_Ford Corporation,Escort Mk3,Other,1183,0,0,0,0,0,0,0,0,1183,0,0,0,0,0,0,0,1183,Si,
Sm_Sal_Ford Corporation,Escort Mk4,GHIA,467,0,0,0,0,0,0,0,0,467,0,0,2,86,119,122,120,18,Si,
Sm_Sal_Ford Corporation,Escort Mk4,GLX,115,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,103,12,Si,
Sm_Sal_Ford Corporation,Escort Mk4,L,871,0,0,0,0,0,0,0,0,871,0,0,5,175,237,224,175,55,Si,
Sm_Sal_Ford Corporation,Escort Mk4,LX,2802,0,0,0,0,0,0,0,0,2802,0,0,32,480,969,787,423,111,Si,
Sm_Sal_Ford Corporation,Escort Mk4,Popular,202,0,0,0,0,0,0,0,0,202,0,0,0,0,0,11,167,24,Si,
Sm_Sal_Ford Corporation,Escort Mk4,RS Cosworth& GTI,12,0,0,0,0,0,0,0,0,12,0,0,0,4,6,2,0,0,No,
Sm_Sal_Ford Corporation,Escort Mk4,SI,55,0,0,0,0,0,0,0,0,55,0,0,2,20,4,0,29,0,No,
Sm_Sal_Ford Corporation,Escort Mk4,XR3& XR3I,129,0,0,0,0,0,0,0,0,129,0,0,0,4,45,53,17,10,Si,
Sm_Sal_Ford Corporation,Escort Mk4,Other,2352,0,0,0,0,0,0,0,0,2352,0,0,41,367,717,620,468,139,Si,
Sm_Sal_Ford Corporation,Escort Mk5,CL,62,0,0,0,0,0,0,3,40,62,19,0,0,0,0,0,0,0,No,
Sm_Sal_Ford Corporation,Escort Mk5,Encore,431,0,0,0,0,0,2,2,30,431,109,152,136,0,0,0,0,0,Si,
Sm_Sal_Ford Corporation,Escort Mk5,GHIA,132,0,0,0,0,0,0,2,8,132,36,47,39,0,0,0,0,0,Si,
